,title,where,other,chanquan,price,price-pre,square
0,首创稀缺套三清水，卧室带转角大阳台,首创国际城二期??3室2厅??83平米??南 北,成渝立交二手房/高楼层(共34层)/2012年建塔楼,树德小学随时看房,78万,9398 元/m2,104人看过此房
1,彩叠园稀缺送24平大露台户 视野好 地铁房 南北通透,彩叠园1B期??3室2厅??109平米??北,光华大道沿线二手房/高楼层(共18层)/2013年建板塔结合,随时看房,74万,6789 元/m2,36人看过此房
2,卧室带阳台，精装套三双卫，楼层适中，诚心出售,万科魅力之城三期??3室2厅??119平米??西南,成渝立交二手房/低楼层(共26层)/2008年建板塔结合,树德小学距离2号线成渝立交站402米随时看房,120万,10085 元/m2,110人看过此房
3,橄榄郡毛坯套三,橄榄郡??3室2厅??124平米??南 北,新都城区二手房/中楼层(共27层)/2008年建板楼,香城小学随时看房,66万,5323 元/m2,55人看过此房
4,实惠套二，有钥匙随时看房,首创国际城二期??2室2厅??88.5平米??南,成渝立交二手房/高楼层(共34层)/2011年建塔楼,树德小学房本满两年,76万,8588 元/m2,29人看过此房
5,二环边学区房，湖泊小区，您值得拥有,浅水半岛一期??2室2厅??89平米??西南,八里小区二手房/高楼层(共27层)/2008年建板塔结合,电子科大附小房本满两年,84万,9439 元/m2,16人看过此房
6,精装 高品质电梯套二,玉林品上??2室2厅??86.7平米??东,玉林二手房/中楼层(共26层)/2007年建板楼,距离1号线省体育馆站520米房本满两年,145万,16725 元/m2,29人看过此房
7,恒大城小高层熊猫户型，黄金楼层，正对中庭，急售！,恒大城??3室2厅??108.8平米??西北,温江新城二手房/中楼层(共11层)/2010年建板塔结合,随时看房,71万,6526 元/m2,132人看过此房
8,万科朗润园 装修套三 省时省力省钱！！,万科朗润园??3室2厅??120平米??东,光华大道沿线二手房/高楼层(共33层)/2007年建板塔结合,随时看房,76万,6334 元/m2,86人看过此房
9,红牌楼 绿地品质楼盘 单价低 稀缺平层套二 ,海珀香庭??2室1厅??71.34平米??西北,红牌楼二手房/中楼层(共11层)/2010年建板楼,距离3号线红牌楼站877米随时看房,75万,10514 元/m2,98人看过此房
10,装修9成新，客厅带转角大阳台，拎包入住,首创国际城二期??2室2厅??78平米??南,成渝立交二手房/中楼层(共34层)/2012年建塔楼,树德小学随时看房,78万,10000 元/m2,79人看过此房
11,大套二大阳台，对格外酒楼，采光好视野开阔,交大万通格外??2室2厅??78.44平米??东北,丽都二手房/高楼层(共18层)/2011年建板楼,距离3号线太平园站594米随时看房,84万,10709 元/m2,92人看过此房
12,芳草地套四双卫 3分钟地铁口 客厅朝南 读桐梓林小学,芳草地??4室2厅??137平米??南 北,桐梓林二手房/中楼层(共7层)/2004年建板楼,桐梓林小学距离1号线桐梓林站418米随时看房,116万,8468 元/m2,40人看过此房
13,清水小套三 通透户型 中间楼层 看房方便,塔子山壹号??3室2厅??83平米??东,沙河堡二手房/中楼层(共34层)/2015年建板楼,沙河堡小学距离2号线塔子山公园站202米随时看房,107万,12892 元/m2,97人看过此房
14,2.5环内，正读成华实验小学，地铁7号线，套三大户型,宝泰家园??3室2厅??150平米??南,八里小区二手房/高楼层(共27层)/2011年建塔楼,成华实验小学北校区随时看房,136万,9067 元/m2,49人看过此房
15,现代城 府南河边 石室中学旁 带双阳台双卫 22楼好,现代城人民公园??2室2厅??96平米??东北,人民公园二手房/高楼层(共23层)/2004年建板楼,距离2号线通惠门站983米随时看房,98万,10209 元/m2,127人看过此房
16,东骏湖稀缺正南朝向的大套三,东骏湖景湾??3室2厅??127平米??南,新都城区二手房/中楼层(共18层)/2010年建板塔结合,香城小学随时看房,91万,7166 元/m2,66人看过此房
17,万科稀缺S2户型，树德旁，地铁学区房,万科金色领域??2室2厅??86平米??西,万家湾二手房/中楼层(共24层)/2012年建板塔结合,实小西区距离4号线中坝站1048米随时看房,96万,11163 元/m2,48人看过此房
18,精装套三 通透户型 中间楼层 满两年无税,华都美林湾??3室2厅??125平米??南,三圣乡二手房/高楼层(共32层)/2012年建板塔结合,三圣小学房本满两年,120万,9600 元/m2,21人看过此房
19,龙城一号 一楼带40平米大花园+10平米多功能间 ,龙城1号??3室2厅??113.81平米??北,大面二手房/低楼层(共6层)/2013年建塔楼,随时看房,118万,10369 元/m2,86人看过此房
20, 金沙遗址旁 金沙御苑 电梯小高层 稀缺小套三,金沙御苑??3室2厅??97平米??南,蜀汉路二手房/中楼层(共14层)/2013年建板楼,营门口小学距离2号线一品天下站542米随时看房,110万,11341 元/m2,204人看过此房
21,园林小区 学区房 户型方正 采光好 标准套三双卫,颐和京都??3室1厅??109.53平米??南,万家湾二手房/低楼层(共29层)/2016年建塔楼,实小西区随时看房,94万,8583 元/m2,85人看过此房
22,精装别墅，拎包入住！ 想要的就留给您！,康郡??4室2厅??160平米??南,东光小区二手房/低楼层(共1层)/2006年建,盐道街小学得胜分校随时看房,310万,19375 元/m2,34人看过此房
23,无营业税  正读泡桐树中学 金地嘉年华 精装套三急售,金地嘉年华城B区??3室2厅??118平米??东南,金沙二手房/中楼层(共18层)/2014年建塔楼,距离2号线羊犀立交站729米随时看房,123万,10424 元/m2,342人看过此房
24,城市博客阳光里    非常好的户型   送超大入户,城市博客阳光里??2室1厅??87平米??西南,茶店子二手房/中楼层(共22层)/2009年建塔楼,石笋街小学新区距离2号线一品天下站987米随时看房,86万,9886 元/m2,161人看过此房
25,西江月+方正户型+低总价+对中庭,西江月??3室2厅??115平米??西南,成外二手房/中楼层(共17层)/2011年建板楼,犀浦实验小学距离2号线百草路站731米随时看房,74万,6435 元/m2,136人看过此房
